  dataset        a        v       t0      st0  penalty      fit     time   method
 subj_223_trials_20   1.2601   1.3082   0.3161   0.0001   0.0000   4.1518   0.0120       ML
 subj_223_trials_30   0.9719   2.9773   0.2906   0.0001   0.0000 -26.8844   0.0160       ML
 subj_223_trials_40   1.5023   4.4109   0.2903   0.0000   0.0000 -45.8269   0.0230       ML
 subj_223_trials_50   1.6001   4.5261   0.2929   0.0003   0.0000 -56.9220   0.0310       ML
 subj_223_trials_60   1.4448   4.7289   0.2879   0.0000   0.0000 -75.7335   0.0280       ML
 subj_224_trials_10   1.4820   3.3836   0.2769   0.0000   0.0000  -7.9679   0.0070       ML
 subj_224_trials_20   0.7792   2.1155   0.3062   0.0000   0.0000 -15.0705   0.0150       ML
 subj_224_trials_30   0.5957   1.1371   0.3120   0.0000   0.0000 -27.4946   0.0160       ML
 subj_224_trials_40   1.6046   2.0905   0.2922   0.0000   0.0000  -3.6427   0.0250       ML
 subj_224_trials_50   0.8760   0.9390   0.3097   0.0000   0.0000  -9.1822   0.0330       ML
 subj_224_trials_60   1.2884   3.8645   0.3527   0.0551   0.0000 -61.8020   0.0480       ML
 subj_225_trials_10   1.1801   1.7265   0.3093   0.0001   0.0000  -1.0680   0.0070       ML
 subj_225_trials_20   1.5439   1.8732   0.3415   0.2698   0.0000   3.4070   0.0620       ML
 subj_225_trials_30   0.8152   7.1702   0.3452   0.0973   0.0000 -52.1236   0.0410       ML
 subj_225_trials_40   1.3683   3.7563   0.3578   0.1883   0.0000 -29.0983   0.0740       ML
 subj_225_trials_50   1.1473   3.2489   0.3224   0.0001   0.0000 -45.2362   0.0330       ML
 subj_225_trials_60   1.3202   4.7991   0.2975   0.0000   0.0000 -80.5514   0.0270       ML
 subj_226_trials_10   0.5065   4.2885   0.3196   0.0642   0.0000 -15.6070   0.0110       ML
 subj_226_trials_20   1.0963   5.5730   0.3434   0.1171   0.0000 -27.3168   0.0370       ML
 subj_226_trials_30   1.3001   3.6895   0.3463   0.1156   0.0000 -26.5932   0.0500       ML
 subj_226_trials_40   0.7330   2.5577   0.3037   0.0000   0.0000 -39.7546   0.0210       ML
 subj_226_trials_50   0.7153   0.8965   0.3056   0.0000   0.0000 -26.4617   0.0260       ML
 subj_226_trials_60   0.8018   1.2239   0.3072   0.0000   0.0000 -25.0311   0.0300       ML
 subj_227_trials_10   0.9903   2.1926   0.3753   0.2454   0.0000  -2.1748   0.0270       ML
 subj_227_trials_20   1.4058   1.9232   0.2757   0.0001   0.0000  -1.5815   0.0150       ML
 subj_227_trials_30   0.9989   3.3264   0.3239   0.1130   0.0000 -25.7488   0.0470       ML
 subj_227_trials_40   0.8418   3.3144   0.3007   0.0000   0.0000 -45.9188   0.0210       ML
 subj_227_trials_50   1.5195   3.3536   0.3168   0.0001   0.0000 -38.5677   0.0260       ML
 subj_227_trials_60   1.0933   1.6770   0.3046   0.0001   0.0000 -11.1445   0.0440       ML
 subj_228_trials_10   0.6820   0.5630   0.3057   0.0000   0.0000  -5.3632   0.0080       ML
 subj_228_trials_20   1.7720   2.3852   0.3092   0.0001   0.0000  -4.1301   0.0120       ML
 subj_228_trials_30   0.8132   0.8329   0.3223   0.0000   0.0000  -8.8241   0.0170       ML
 subj_228_trials_40   0.9738   3.5170   0.3163   0.0001   0.0000 -44.7728   0.0220       ML
 subj_228_trials_50   0.8905   2.4287   0.3009   0.0001   0.0000 -37.7625   0.0400       ML
 subj_228_trials_60   1.1938   3.2270   0.3230   0.0000   0.0000 -52.2106   0.0450       ML
 subj_229_trials_10   1.3789   0.5810   0.3192   0.0008   0.0000   7.6710   0.0070       ML
 subj_229_trials_20   0.8954   3.1060   0.3008   0.0000   0.0000 -20.3739   0.0130       ML
 subj_229_trials_30   0.7698   4.3929   0.3163   0.0611   0.0000 -43.1485   0.0370       ML
 subj_229_trials_40   1.1822   3.1908   0.2953   0.0472   0.0000 -33.2881   0.0420       ML
 subj_229_trials_50   1.0461   3.6346   0.3286   0.1139   0.0000 -47.0471   0.0770       ML
 subj_229_trials_60   0.7211   1.4772   0.3055   0.0000   0.0000 -39.6666   0.0360       ML
 subj_22_trials_10   1.1338   0.7040   0.3129   0.0002   0.0000   3.7578   0.0050       ML
 subj_22_trials_20   0.9894   6.1730   0.3354   0.0955   0.0000 -31.4104   0.0270       ML
 subj_22_trials_30   1.2086   0.8166   0.3453   0.0001   0.0000  11.9655   0.0220       ML
 subj_22_trials_40   1.0692   2.6111   0.3010   0.0000   0.0000 -26.8255   0.0290       ML
 subj_22_trials_50   0.8589   3.1821   0.2989   0.0000   0.0000 -54.5602   0.0320       ML
 subj_22_trials_60   1.3946   0.9595   0.3164   0.0001   0.0000  32.7061   0.0430       ML
 subj_230_trials_10   1.0813   2.0081   0.3898   0.2926   0.0000  -0.4166   0.0300       ML
 subj_230_trials_20   1.4584   2.8978   0.3068   0.0000   0.0000 -11.9222   0.0130       ML
 subj_230_trials_30   0.9886   5.7734   0.4243   0.2255   0.0000 -32.2254   0.0800       ML
 subj_230_trials_40   1.0284   0.5810   0.3169   0.0001   0.0000   8.5089   0.0260       ML
 subj_230_trials_50   1.4349   2.5985   0.3350   0.0001   0.0000 -22.8915   0.0390       ML
 subj_230_trials_60   1.2455   4.6577   0.3559   0.1417   0.0000 -65.2815   0.1040       ML
 subj_231_trials_10   1.1094   1.8371   0.3082   0.0001   0.0000  -2.3086   0.0060       ML
 subj_231_trials_20   0.5676   1.4303   0.3057   0.0000   0.0000 -20.6167   0.0110       ML
 subj_231_trials_30   0.8023   4.1348   0.3160   0.0679   0.0000 -39.4834   0.0300       ML
 subj_231_trials_40   0.7575   2.4726   0.3039   0.0000   0.0000 -37.1388   0.0230       ML
 subj_231_trials_50   1.2812   1.2635   0.3079   0.0000   0.0000  11.8148   0.0380       ML
 subj_231_trials_60   1.9183   1.7713   0.3208   0.1714   0.0000  17.2671   0.1220       ML
 subj_232_trials_10   1.1418   0.7008   0.3132   0.0001   0.0000   3.9033   0.0070       ML
 subj_232_trials_20   1.0184   5.0103   0.2961   0.0000   0.0000 -31.4074   0.0080       ML
 subj_232_trials_30   0.6064   0.6544   0.3087   0.0000   0.0000 -24.5938   0.0190       ML
 subj_232_trials_40   1.3948   3.6842   0.3601   0.1957   0.0000 -27.5493   0.0910       ML
 subj_232_trials_50   0.6422   4.7330   0.3014   0.0000   0.0000 -89.9411   0.0210       ML
 subj_232_trials_60   0.6352   4.2657   0.2999   0.0000   0.0000 -100.3061   0.0250       ML
 subj_233_trials_10   0.9584   2.2657   0.3705   0.2297   0.0000  -2.8297   0.0270       ML
 subj_233_trials_20   1.2168   2.9772   0.3498   0.0000   0.0000 -14.8389   0.0100       ML
 subj_233_trials_30   0.9771   1.5877   0.3111   0.0001   0.0000  -7.9365   0.0210       ML
 subj_233_trials_40   1.2762   3.4208   0.3548   0.0002   0.0000 -36.4877   0.0180       ML
 subj_233_trials_50   0.6912   5.4012   0.3284   0.0871   0.0000 -78.0947   0.0710       ML
 subj_233_trials_60   0.7031   2.6078   0.3019   0.0000   0.0000 -64.1132   0.0340       ML
 subj_234_trials_10   0.6350  -0.5943   0.3054   0.0001   0.0000  -6.6145   0.0040       ML
 subj_234_trials_20   1.0543   4.0014   0.3036   0.0001   0.0000 -24.8538   0.0090       ML
 subj_234_trials_30   1.0547   5.4133   0.3828   0.1829   0.0000 -34.4801   0.0690       ML
 subj_234_trials_40   0.5858   0.6653   0.3045   0.0000   0.0000 -34.4553   0.0190       ML
 subj_234_trials_50   1.4009   3.8483   0.2988   0.0004   0.0000 -50.3112   0.0310       ML
 subj_234_trials_60   1.2793   4.1571   0.3477   0.1117   0.0000 -61.5438   0.0940       ML
 subj_235_trials_10   0.4582   4.7528   0.3153   0.0515   0.0000 -17.7603   0.0130       ML
 subj_235_trials_20   0.8237   0.4684   0.3083   0.0000   0.0000  -3.3037   0.0110       ML
 subj_235_trials_30   0.7230   4.5347   0.3160   0.0656   0.0000 -44.0001   0.0320       ML
 subj_235_trials_40   0.8044   4.4154   0.3249   0.0592   0.0000 -56.5174   0.0410       ML
 subj_235_trials_50   1.8288   2.2009   0.3026   0.1405   0.0000  -1.3367   0.0880       ML
 subj_235_trials_60   1.6594   2.4782   0.3200   0.1523   0.0000 -13.3337   0.1160       ML
 subj_236_trials_10   1.2342   3.3551   0.3076   0.0000   0.0000  -8.9995   0.0060       ML
 subj_236_trials_20   0.6861   2.4033   0.3048   0.0000   0.0000 -20.1725   0.0140       ML
 subj_236_trials_30   0.9513   3.4287   0.3285   0.1203   0.0000 -26.6691   0.0480       ML
 subj_236_trials_40   1.3416   1.0015   0.3066   0.0000   0.0000  18.5491   0.0270       ML
 subj_236_trials_50   0.6448   5.7833   0.3537   0.1030   0.0000 -78.0274   0.0780       ML
 subj_236_trials_60   1.1841   4.8264   0.3508   0.1267   0.0000 -70.7007   0.0990       ML
 subj_237_trials_10   0.6745  -0.0001   0.3065   0.0000   0.0000  -5.0803   0.0060       ML
 subj_237_trials_20   1.1143   2.5995   0.4040   0.3014   0.0000  -5.1377   0.0600       ML
 subj_237_trials_30   1.0371   3.2695   0.3095   0.0000   0.0000 -29.5574   0.0260       ML
 subj_237_trials_40   1.3814   2.5417   0.4047   0.3450   0.0000  -4.7058   0.1880       ML
 subj_237_trials_50   0.8934   3.5339   0.3198   0.0729   0.0000 -53.6945   0.0600       ML
 subj_237_trials_60   0.7744   2.8177   0.3013   0.0000   0.0000 -62.8684   0.0390       ML
 subj_238_trials_10   1.5975   6.8209   0.2960   0.0784   0.0000 -15.4662   0.0170       ML
 subj_238_trials_20   1.4890   3.5488   0.2963   0.0001   0.0000 -17.1428   0.0110       ML
 subj_238_trials_30   1.3426   4.3521   0.4228   0.2641   0.0000 -22.1606   0.0960       ML
 subj_238_trials_40   1.0386   5.5830   0.3492   0.1281   0.0000 -53.7123   0.0650       ML
 subj_238_trials_50   0.6178   3.0979   0.3018   0.0000   0.0000 -67.7815   0.0240       ML
 subj_238_trials_60   0.9698   4.1060   0.3189   0.0871   0.0000 -70.0528   0.0750       ML
 subj_239_trials_10   1.5198   3.9767   0.3477   0.0002   0.0000  -9.9506   0.0060       ML
 subj_239_trials_20   1.4582   3.1193   0.2857   0.0001   0.0000 -13.9589   0.0100       ML
 subj_239_trials_30   0.6524   2.7475   0.3039   0.0000   0.0000 -35.5829   0.0130       ML
 subj_239_trials_40   0.9148   6.0050   0.3444   0.1086   0.0000 -60.3066   0.0600       ML
 subj_239_trials_50   1.4137   4.9586   0.2881   0.0000   0.0000 -66.9869   0.0360       ML
 subj_239_trials_60   0.6147   0.9758   0.3042   0.0000   0.0000 -49.3458   0.0330       ML
 subj_23_trials_10   1.2092   5.0689   0.5127   0.4534   0.0000  -4.6065   0.0540       ML
 subj_23_trials_20   0.6301   4.6684   0.3340   0.0933   0.0000 -28.9557   0.0280       ML
 subj_23_trials_30   1.3295   2.4536   0.3516   0.2039   0.0000  -7.8664   0.0700       ML
 subj_23_trials_40   1.0875   3.2381   0.4307   0.2602   0.0000 -20.9359   0.1150       ML
 subj_23_trials_50   1.2400   3.0267   0.3587   0.2122   0.0000 -25.3006   0.1140       ML
 subj_23_trials_60   1.7696   2.3244   0.3226   0.1728   0.0000  -5.6543   0.1130       ML
 subj_240_trials_10   0.9666   2.1088   0.3062   0.0000   0.0000  -5.0624   0.0060       ML
 subj_240_trials_20   0.8453   3.5217   0.3073   0.0000   0.0000 -24.5949   0.0120       ML
 subj_240_trials_30   0.5769   0.9258   0.3077   0.0000   0.0000 -28.3935   0.0170       ML
 subj_240_trials_40   1.1469   0.8125   0.3180   0.0000   0.0000  13.1323   0.0240       ML
 subj_240_trials_50   1.1215   4.7691   0.3393   0.1149   0.0000 -60.5115   0.0750       ML
 subj_240_trials_60   0.9973   2.5831   0.3079   0.0000   0.0000 -43.2292   0.0360       ML
 subj_241_trials_10   1.2065   0.6628   0.3146   0.0001   0.0000   5.0066   0.0100       ML
 subj_241_trials_20   1.2224   4.4509   0.2950   0.0001   0.0000 -25.8072   0.0090       ML
 subj_241_trials_30   1.3211   4.5264   0.2983   0.0000   0.0000 -37.8666   0.0140       ML
 subj_241_trials_40   0.9665   3.6828   0.3336   0.1156   0.0000 -39.2610   0.0580       ML
 subj_241_trials_50   1.7108   1.2651   0.3032   0.0002   0.0000  27.5436   0.0380       ML
 subj_241_trials_60   1.1286   3.0330   0.3248   0.0466   0.0000 -47.7886   0.0680       ML
 subj_242_trials_10   2.1369   3.9242   0.3107   0.0000   0.0000  -7.5602   0.0080       ML
 subj_242_trials_20   1.4150   4.3205   0.3721   0.1948   0.0000 -17.1292   0.0460       ML
 subj_242_trials_30   0.5853   1.9772   0.3099   0.0000   0.0000 -33.5564   0.0160       ML
 subj_242_trials_40   1.6984   0.9812   0.3048   0.0001   0.0000  31.5311   0.0470       ML
 subj_242_trials_50   1.0873   0.8432   0.3141   0.0000   0.0000  10.8249   0.0340       ML
 subj_242_trials_60   1.3263   1.4964   0.3035   0.0002   0.0000   7.7104   0.0470       ML
 subj_243_trials_10   1.0950   0.3530   0.3147   0.0000   0.0000   4.1003   0.0050       ML
 subj_243_trials_20   1.4816   4.1272   0.3791   0.2136   0.0000 -15.2931   0.0520       ML
 subj_243_trials_30   0.8826   3.8258   0.3054   0.0511   0.0000 -36.6436   0.0320       ML
 subj_243_trials_40   1.0337   1.8109   0.3072   0.0001   0.0000 -12.2733   0.0290       ML
 subj_243_trials_50   1.3142   3.6628   0.3406   0.0554   0.0000 -47.2296   0.0470       ML
 subj_243_trials_60   1.2204   3.1240   0.4093   0.2369   0.0000 -29.4755   0.1500       ML
 subj_244_trials_10   0.9262   0.8597   0.3087   0.0000   0.0000  -0.2752   0.0060       ML
 subj_244_trials_20   1.2480   2.9034   0.3524   0.0001   0.0000 -13.8305   0.0100       ML
 subj_244_trials_30   1.1714   5.5072   0.2895   0.0000   0.0000 -48.1703   0.0140       ML
 subj_244_trials_40   0.9068   1.1628   0.3105   0.0000   0.0000  -7.4886   0.0270       ML
 subj_244_trials_50   0.9640   1.2670   0.3089   0.0000   0.0000  -7.1651   0.0340       ML
 subj_244_trials_60   1.8791   3.3667   0.2950   0.0001   0.0000 -38.0857   0.0450       ML
 subj_245_trials_10   0.5794   1.3790   0.3034   0.0000   0.0000  -9.6676   0.0060       ML
 subj_245_trials_20   1.1295   4.0365   0.2915   0.0002   0.0000 -24.1903   0.0070       ML
 subj_245_trials_30   1.4409   2.2638   0.3652   0.2757   0.0000  -1.7612   0.0940       ML
 subj_245_trials_40   0.9423   3.5574   0.2973   0.0000   0.0000 -46.2234   0.0200       ML
 subj_245_trials_50   0.9187   4.0566   0.3144   0.0000   0.0000 -67.4525   0.0270       ML
 subj_245_trials_60   1.5767   1.1627   0.3096   0.0001   0.0000  32.8121   0.0530       ML
 subj_246_trials_10   0.7241   2.9979   0.3403   0.1313   0.0000  -8.4303   0.0190       ML
 subj_246_trials_20   1.8559   2.7487   0.2870   0.0001   0.0000  -7.3893   0.0150       ML
 subj_246_trials_30   0.7602   4.4616   0.3037   0.0383   0.0000 -45.7099   0.0260       ML
 subj_246_trials_40   1.1129   0.6324   0.3190   0.0001   0.0000  13.6905   0.0330       ML
 subj_246_trials_50   2.1138   1.6462   0.2716   0.0004   0.0000  20.5349   0.0470       ML
 subj_246_trials_60   1.8729   3.8374   0.2757   0.0001   0.0000 -48.6593   0.0750       ML
 subj_247_trials_10   0.8910   0.4310   0.3098   0.0000   0.0000  -0.0187   0.0080       ML
 subj_247_trials_20   0.9385   0.4145   0.3178   0.0000   0.0000   1.6325   0.0120       ML
 subj_247_trials_30   1.4518   3.5130   0.3100   0.0001   0.0000 -25.8535   0.0220       ML
 subj_247_trials_40   1.4922   2.2959   0.3382   0.0001   0.0000 -10.6398   0.0290       ML
 subj_247_trials_50   1.0703   2.0205   0.3013   0.0000   0.0000 -19.3600   0.0400       ML
 subj_247_trials_60   0.6691   3.0101   0.3015   0.0000   0.0000 -75.6884   0.0330       ML
 subj_248_trials_10   0.8814   0.4362   0.3095   0.0001   0.0000  -0.2366   0.0060       ML
 subj_248_trials_20   0.9081   3.2781   0.3084   0.0000   0.0000 -21.7352   0.0130       ML
 subj_248_trials_30   1.3317   3.6030   0.3478   0.1197   0.0000 -25.2208   0.0460       ML
 subj_248_trials_40   1.3143   2.6019   0.3253   0.0000   0.0000 -20.6867   0.0310       ML
 subj_248_trials_50   0.7907   0.6000   0.3073   0.0000   0.0000 -14.4650   0.0260       ML
 subj_248_trials_60   0.8605   1.2378   0.3079   0.0000   0.0000 -18.4238   0.0300       ML
 subj_249_trials_10   0.9743   2.2330   0.3283   0.1631   0.0000  -3.6323   0.0210       ML
 subj_249_trials_20   1.0568   3.9953   0.3036   0.0000   0.0000 -24.7871   0.0090       ML
 subj_249_trials_30   0.8426   1.1707   0.3219   0.0000   0.0000  -9.7063   0.0190       ML
 subj_249_trials_40   1.2997   2.6352   0.3291   0.0000   0.0000 -21.6574   0.0300       ML
 subj_249_trials_50   1.1925   3.1231   0.3506   0.1988   0.0000 -28.2727   0.1310       ML
 subj_249_trials_60   0.9795   2.7655   0.2998   0.0000   0.0000 -48.3328   0.0340       ML
 subj_24_trials_10   1.4913   7.3040   0.2966   0.0684   0.0000 -16.8369   0.0130       ML
 subj_24_trials_20   1.1349   0.9249   0.3200   0.0001   0.0000   5.3786   0.0120       ML
 subj_24_trials_30   0.9747   1.8413   0.3087   0.0001   0.0000 -11.5222   0.0200       ML
 subj_24_trials_40   0.8789   4.0076   0.3854   0.1699   0.0000 -37.9815   0.0840       ML
 subj_24_trials_50   1.9955   1.4406   0.2916   0.0005   0.0000  27.3021   0.0340       ML
 subj_24_trials_60   1.6592   2.4785   0.3199   0.1522   0.0000 -13.3656   0.1250       ML
 subj_250_trials_10   1.1709   3.7283   0.3013   0.0000   0.0000 -10.7689   0.0050       ML
 subj_250_trials_20   0.6867   1.5285   0.3073   0.0000   0.0000 -14.7148   0.0120       ML
 subj_250_trials_30   1.1428   4.3926   0.3406   0.1236   0.0000 -32.4338   0.0530       ML
 subj_250_trials_40   1.0521   1.7794   0.3075   0.0000   0.0000 -10.8509   0.0290       ML
 subj_250_trials_50   0.9839   3.8644   0.3253   0.1008   0.0000 -53.1736   0.0750       ML
 subj_250_trials_60   0.8270   4.0393   0.3185   0.0639   0.0000 -77.3947   0.0640       ML
 subj_251_trials_10   0.8516   0.9385   0.3073   0.0000   0.0000  -1.9642   0.0060       ML
 subj_251_trials_20   1.1914   2.4257   0.4384   0.3930   0.0000  -1.4021   0.0850       ML
 subj_251_trials_30   0.9220   3.6620   0.3058   0.0554   0.0000 -34.0389   0.0300       ML
 subj_251_trials_40   1.2034   1.3868   0.3023   0.0001   0.0000   3.8913   0.0250       ML
 subj_251_trials_50   1.7754   2.2324   0.3093   0.1857   0.0000  -1.3615   0.0950       ML
 subj_251_trials_60   0.8887   2.2664   0.3027   0.0001   0.0000 -41.6259   0.0440       ML
 subj_252_trials_10   1.4128   1.4424   0.3133   0.0000   0.0000   2.5261   0.0080       ML
 subj_252_trials_20   0.8151   0.4779   0.3134   0.0000   0.0000  -4.0115   0.0120       ML
 subj_252_trials_30   1.4051   4.0845   0.2911   0.0001   0.0000 -32.6281   0.0160       ML
 subj_252_trials_40   1.2186   4.0237   0.3116   0.0000   0.0000 -46.2818   0.0160       ML
 subj_252_trials_50   1.5087   0.8850   0.3198   0.0001   0.0000  35.2290   0.0390       ML
 subj_252_trials_60   0.9942   2.0260   0.3033   0.0002   0.0000 -28.1784   0.0410       ML
 subj_253_trials_10   1.2099   1.6849   0.3098   0.0000   0.0000  -0.5740   0.0080       ML
 subj_253_trials_20   0.9880   2.8135   0.3009   0.0000   0.0000 -16.4331   0.0140       ML
 subj_253_trials_30   1.3294   2.4670   0.3541   0.2213   0.0000  -7.4720   0.0740       ML
 subj_253_trials_40   0.7084   0.8429   0.3080   0.0000   0.0000 -21.2988   0.0200       ML
 subj_253_trials_50   1.3186   2.3055   0.3060   0.0002   0.0000 -18.0033   0.0360       ML
 subj_253_trials_60   0.7685   2.6203   0.3020   0.0000   0.0000 -59.0597   0.0380       ML
 subj_254_trials_10   1.5541   3.8374   0.3487   0.0001   0.0000  -9.3269   0.0060       ML
 subj_254_trials_20   1.1250   1.4676   0.3129   0.0000   0.0000  -0.3899   0.0160       ML
 subj_254_trials_30   0.8336   0.8120   0.3235   0.0000   0.0000  -7.3301   0.0190       ML
 subj_254_trials_40   1.0419   3.5116   0.3301   0.1105   0.0000 -36.7846   0.0600       ML
 subj_254_trials_50   0.7236   3.9770   0.2989   0.0000   0.0000 -74.2137   0.0230       ML
 subj_254_trials_60   1.2512   3.3739   0.3188   0.0000   0.0000 -53.8846   0.0670       ML
 subj_255_trials_10   1.3285   0.2892   0.3217   0.0002   0.0000   7.9715   0.0070       ML
 subj_255_trials_20   1.0430   1.0065   0.3169   0.0001   0.0000   2.0002   0.0140       ML
 subj_255_trials_30   1.0951   5.3369   0.3817   0.1757   0.0000 -34.3939   0.0600       ML
 subj_255_trials_40   1.1064   4.9067   0.2991   0.0000   0.0000 -59.5734   0.0170       ML
 subj_255_trials_50   1.1019   3.3842   0.3206   0.0001   0.0000 -49.3145   0.0300       ML
 subj_255_trials_60   1.7033   3.7186   0.2959   0.0000   0.0000 -49.9523   0.0380       ML
 subj_256_trials_10   1.1748   5.1518   0.3284   0.0000   0.0000 -15.1207   0.0050       ML
 subj_256_trials_20   0.9383   1.7571   0.3089   0.0002   0.0000  -7.6604   0.0160       ML
 subj_256_trials_30   1.0793   0.6273   0.3393   0.0001   0.0000   8.1666   0.0170       ML
 subj_256_trials_40   1.6752   2.0014   0.2916   0.0000   0.0000  -0.1897   0.0230       ML
 subj_256_trials_50   0.8919   3.4071   0.3028   0.0000   0.0000 -57.0480   0.0260       ML
 subj_256_trials_60   1.2256   3.1091   0.4103   0.2390   0.0000 -28.9343   0.1540       ML
 subj_257_trials_10   1.0918   0.7326   0.3120   0.0000   0.0000   3.0030   0.0070       ML
 subj_257_trials_20   1.5359   2.7484   0.3076   0.0001   0.0000  -9.8266   0.0110       ML
 subj_257_trials_30   1.4699   3.4702   0.3103   0.0000   0.0000 -25.1066   0.0220       ML
 subj_257_trials_40   1.1156   4.8710   0.3565   0.1333   0.0000 -47.8548   0.0720       ML
 subj_257_trials_50   1.6243   1.8714   0.3092   0.0002   0.0000   2.8497   0.0340       ML
 subj_257_trials_60   2.1077   3.6573   0.2725   0.0002   0.0000 -40.2536   0.1350       ML
 subj_258_trials_10   0.6689   3.2470   0.3343   0.1119   0.0000 -10.0262   0.0170       ML
 subj_258_trials_20   1.6436   1.6918   0.3026   0.0002   0.0000   3.9165   0.0140       ML
 subj_258_trials_30   1.0790   1.9656   0.3096   0.0000   0.0000 -10.3322   0.0200       ML
 subj_258_trials_40   1.5265   2.1101   0.2799   0.0003   0.0000  -5.4395   0.0230       ML
 subj_258_trials_50   1.4578   4.1147   0.2983   0.0001   0.0000 -53.6088   0.0300       ML
 subj_258_trials_60   1.2372   2.1896   0.2997   0.0000   0.0000 -20.3020   0.0350       ML
 subj_259_trials_10   2.2209   4.9135   0.2922   0.1511   0.0000  -8.8974   0.0260       ML
 subj_259_trials_20   1.2095   3.7900   0.3272   0.0888   0.0000 -19.8389   0.0250       ML
 subj_259_trials_30   1.2101   2.7091   0.3448   0.1835   0.0000 -13.0979   0.0870       ML
 subj_259_trials_40   0.7361   0.8117   0.3086   0.0000   0.0000 -18.2404   0.0200       ML
 subj_259_trials_50   1.3076   2.4443   0.3362   0.0653   0.0000 -20.6568   0.0660       ML
 subj_259_trials_60   0.6657   2.0102   0.3037   0.0000   0.0000 -56.0546   0.0320       ML
 subj_25_trials_10   1.3488   0.5929   0.3182   0.0002   0.0000   7.2260   0.0090       ML
 subj_25_trials_20   1.2993   4.7044   0.3609   0.1644   0.0000 -20.5318   0.0400       ML
 subj_25_trials_30   1.3125   1.1827   0.3200   0.0001   0.0000   9.7523   0.0210       ML
 subj_25_trials_40   1.2191   3.0021   0.3412   0.1511   0.0000 -24.2232   0.0790       ML
 subj_25_trials_50   0.7346   5.0772   0.3700   0.1344   0.0000 -64.8768   0.0880       ML
 subj_25_trials_60   1.1409   4.9487   0.3351   0.1068   0.0000 -75.6215   0.0800       ML
 subj_260_trials_10   0.5343   1.4956   0.3029   0.0000   0.0000 -11.2853   0.0060       ML
 subj_260_trials_20   0.9936   6.1468   0.3357   0.0963   0.0000 -31.2390   0.0300       ML
 subj_260_trials_30   1.2998   4.7751   0.2954   0.0001   0.0000 -40.3284   0.0180       ML
 subj_260_trials_40   0.9069   3.0770   0.3008   0.0000   0.0000 -39.9764   0.0240       ML
 subj_260_trials_50   1.6018   3.7416   0.2905   0.0000   0.0000 -43.9829   0.0360       ML
 subj_260_trials_60   1.3595   0.9911   0.3165   0.0000   0.0000  29.0765   0.0460       ML
 subj_261_trials_10   0.6619   3.2839   0.3625   0.1346   0.0000  -9.3706   0.0170       ML
 subj_261_trials_20   1.1857   3.8662   0.3262   0.0854   0.0000 -20.6348   0.0240       ML
 subj_261_trials_30   0.5643   2.7490   0.3037   0.0000   0.0000 -40.8877   0.0150       ML
 subj_261_trials_40   0.8738   1.0662   0.3105   0.0000   0.0000  -8.6329   0.0220       ML
 subj_261_trials_50   1.9448   3.0844   0.2970   0.0000   0.0000 -24.7838   0.0400       ML
 subj_261_trials_60   1.1885   4.8065   0.3512   0.1278   0.0000 -70.2158   0.0990       ML
 subj_262_trials_10   1.6257   1.2534   0.3176   0.0001   0.0000   5.3364   0.0080       ML
 subj_262_trials_20   0.5273   3.1264   0.3028   0.0000   0.0000 -30.6939   0.0100       ML
 subj_262_trials_30   1.1896   4.2219   0.3439   0.1338   0.0000 -30.0519   0.0480       ML
 subj_262_trials_40   0.7623   1.0699   0.3085   0.0000   0.0000 -17.9590   0.0210       ML
 subj_262_trials_50   0.6043   6.1722   0.3221   0.0673   0.0000 -91.2725   0.0580       ML
 subj_262_trials_60   1.1877   2.8821   0.3274   0.0515   0.0000 -41.6645   0.0620       ML
 subj_263_trials_10   0.9484   1.3614   0.3054   0.0001   0.0000  -1.7315   0.0060       ML
 subj_263_trials_20   1.1136   0.9423   0.3193   0.0001   0.0000   4.6283   0.0130       ML
 subj_263_trials_30   1.3412   3.8031   0.3086   0.0001   0.0000 -30.6069   0.0190       ML
 subj_263_trials_40   1.1460   4.1704   0.3376   0.0857   0.0000 -45.4542   0.0440       ML
 subj_263_trials_50   0.5872   2.2767   0.3030   0.0000   0.0000 -59.1317   0.0230       ML
 subj_263_trials_60   0.7864   2.5610   0.3021   0.0000   0.0000 -56.2888   0.0380       ML
 subj_264_trials_10   1.5018   3.3399   0.2763   0.0001   0.0000  -7.7042   0.0060       ML
 subj_264_trials_20   1.4696   0.5526   0.3380   0.0001   0.0000  17.4264   0.0160       ML
 subj_264_trials_30   1.0409   1.4907   0.3125   0.0002   0.0000  -4.1574   0.0180       ML
 subj_264_trials_40   1.1288   1.4724   0.3072   0.0001   0.0000  -0.9961   0.0280       ML
 subj_264_trials_50   1.5468   3.7401   0.3398   0.1782   0.0000 -34.6326   0.1030       ML
 subj_264_trials_60   1.9700   1.3743   0.2995   0.0005   0.0000  35.5700   0.0620       ML
 subj_265_trials_10   0.7196   3.0170   0.3398   0.1296   0.0000  -8.5622   0.0220       ML
 subj_265_trials_20   1.2680   4.8217   0.3579   0.1565   0.0000 -21.5160   0.0400       ML
 subj_265_trials_30   0.5946   1.9468   0.3103   0.0000   0.0000 -32.6127   0.0160       ML
 subj_265_trials_40   1.0363   5.3214   0.3382   0.1091   0.0000 -54.6600   0.0640       ML
 subj_265_trials_50   0.8054   3.3947   0.2990   0.0000   0.0000 -61.0120   0.0280       ML
