  dataset        a        v       t0      st0  penalty      fit     time   method
 subj_200_trials_10   1.2426   2.3021   0.3053   0.0008   0.0000   0.9979   0.0160       KS
 subj_200_trials_20   0.9345   3.2294   0.4659   0.2625   0.0000   0.9975   0.0310       KS
 subj_200_trials_30   1.3769   3.5198   0.3214   0.1524   0.0000   0.9998   0.0380       KS
 subj_200_trials_40   2.1677   2.5284   0.1888   0.0525   0.0000   0.9508   0.0470       KS
 subj_200_trials_50   1.1683   4.4952   0.3401   0.1875   0.0000   0.9998   0.0530       KS
 subj_200_trials_60   0.8143   5.9840   0.3075   0.0497   0.0000   0.9984   0.0160       KS
 subj_201_trials_10   1.0700   4.4225   0.3305   0.1002   0.0000   0.9998   0.0150       KS
 subj_201_trials_20   1.1158   3.6844   0.2573   0.0376   0.0000   0.9680   0.0220       KS
 subj_201_trials_30   0.8009   3.6574   0.3282   0.1575   0.0000   0.9991   0.0320       KS
 subj_201_trials_40   1.4094   1.6381   0.2904   0.2476   0.0000   0.9991   0.0620       KS
 subj_201_trials_50   1.1039   2.3920   0.3278   0.2530   0.0000   0.9997   0.0310       KS
 subj_201_trials_60   0.6638   1.8278   0.2939   0.0015   0.0000   0.9960   0.0310       KS
 subj_202_trials_10   0.5687   1.3307   0.2941   0.0059   0.0000   0.9831   0.0000       KS
 subj_202_trials_20   1.3283   2.4151   0.3357   0.1276   0.0000   0.9922   0.0380       KS
 subj_202_trials_30   0.7679   3.8497   0.3252   0.1454   0.0000   0.9991   0.0160       KS
 subj_202_trials_40   1.1271   0.8798   0.2808   0.0085   0.0000   0.9953   0.0470       KS
 subj_202_trials_50   0.5812   4.5303   0.3095   0.0710   0.0000   0.9997   0.0150       KS
 subj_202_trials_60   1.8721   5.2606   0.2936   0.0825   0.0000   0.8783   0.0690       KS
 subj_203_trials_10   1.3562   2.8062   0.3044   0.0768   0.0000   0.9817   0.0310       KS
 subj_203_trials_20   1.6844   2.9801   0.2860   0.3094   0.0000   0.9933   0.0550       KS
 subj_203_trials_30   1.0910   4.2421   0.3693   0.1875   0.0000   0.9952   0.0160       KS
 subj_203_trials_40   1.1119   7.1900   0.3603   0.1664   0.0000   0.9998   0.0310       KS
 subj_203_trials_50   1.6105   2.5371   0.3692   0.5127   0.0000   0.9997   0.1680       KS
 subj_203_trials_60   1.7546   3.7678   0.3706   0.3026   0.0000   0.9708   0.0740       KS
 subj_204_trials_10   0.6627   0.9776   0.2957   0.0051   0.0000   0.9826   0.0180       KS
 subj_204_trials_20   0.9077   3.4013   0.3700   0.1491   0.0000   0.9901   0.0320       KS
 subj_204_trials_30   2.0179   3.1072   0.2882   0.3379   0.0000   0.9991   0.1140       KS
 subj_204_trials_40   1.3874   3.1147   0.3505   0.1725   0.0000   0.9985   0.0310       KS
 subj_204_trials_50   0.7104   1.9049   0.2974   0.0525   0.0000   0.9958   0.0160       KS
 subj_204_trials_60   0.8042   2.4589   0.3011   0.0525   0.0000   1.0000   0.0310       KS
 subj_205_trials_10   1.4400   1.6123   0.3002   0.0003   0.0000   0.9999   0.0380       KS
 subj_205_trials_20   0.7427   4.4983   0.3812   0.1219   0.0000   0.9977   0.0310       KS
 subj_205_trials_30   0.6159   5.7842   0.3831   0.1317   0.0000   0.9678   0.0320       KS
 subj_205_trials_40   1.2390   5.2357   0.3754   0.2937   0.0000   1.0000   0.0780       KS
 subj_205_trials_50   1.6062   4.7240   0.4260   0.4504   0.0000   0.9998   0.1160       KS
 subj_205_trials_60   1.1416   5.3619   0.3061   0.0517   0.0000   0.9932   0.0220       KS
 subj_206_trials_10   0.6701   1.2059   0.2901   0.0111   0.0000   0.9832   0.0000       KS
 subj_206_trials_20   0.9078   4.0590   0.3397   0.1100   0.0000   0.9957   0.0150       KS
 subj_206_trials_30   0.7271   5.8895   0.3094   0.0276   0.0000   0.9953   0.0000       KS
 subj_206_trials_40   0.8078   6.3843   0.3530   0.1741   0.0000   1.0000   0.0220       KS
 subj_206_trials_50   1.3342   4.0287   0.3499   0.2129   0.0000   0.9787   0.0310       KS
 subj_206_trials_60   1.2908   4.8846   0.3601   0.1754   0.0000   0.9983   0.0470       KS
 subj_207_trials_10   0.8418   4.2474   0.3386   0.0511   0.0000   0.9998   0.0000       KS
 subj_207_trials_20   2.2405   1.5889   0.1327   0.2150   0.0000   0.9720   0.0780       KS
 subj_207_trials_30   0.5242   5.8965   0.3376   0.0975   0.0000   0.9997   0.0230       KS
 subj_207_trials_40   1.7746   2.0957   0.3228   0.4825   0.0000   0.9992   0.1470       KS
 subj_207_trials_50   1.2509   3.7262   0.3399   0.1875   0.0000   1.0000   0.0310       KS
 subj_207_trials_60   2.0154   3.0306   0.3287   0.3592   0.0000   0.9730   0.1070       KS
 subj_208_trials_10   0.9862   4.1582   0.2810   0.0375   0.0000   0.9998   0.0160       KS
 subj_208_trials_20   0.7155   1.2477   0.2903   0.0002   0.0000   0.9787   0.0310       KS
 subj_208_trials_30   0.9951   4.4149   0.4564   0.2864   0.0000   0.9636   0.0690       KS
 subj_208_trials_40   0.9301   0.7484   0.2889   0.0014   0.0000   0.9925   0.0160       KS
 subj_208_trials_50   0.8320   0.9855   0.2943   0.0001   0.0000   0.9966   0.0160       KS
 subj_208_trials_60   1.7837   2.1002   0.2576   0.0403   0.0000   0.9972   0.0550       KS
 subj_209_trials_10   1.3705   2.1135   0.2796   0.0375   0.0000   0.9999   0.0320       KS
 subj_209_trials_20   1.9989   3.8746   0.3856   0.3235   0.0000   0.9955   0.0830       KS
 subj_209_trials_30   0.7900   1.6407   0.3177   0.1276   0.0000   0.9956   0.0150       KS
 subj_209_trials_40   1.1616   4.1717   0.3845   0.2179   0.0000   0.9752   0.0380       KS
 subj_209_trials_50   1.2595   6.9800   0.3776   0.1788   0.0000   0.9369   0.0310       KS
 subj_209_trials_60   1.0125   4.6566   0.3286   0.1264   0.0000   0.9781   0.0310       KS
 subj_20_trials_10   0.5968   2.3833   0.3473   0.0675   0.0000   0.9999   0.0160       KS
 subj_20_trials_20   1.3627   3.0605   0.3066   0.1506   0.0000   0.9916   0.0220       KS
 subj_20_trials_30   1.5663   3.8293   0.2964   0.2175   0.0000   0.9991   0.0500       KS
 subj_20_trials_40   0.7695   3.7676   0.3774   0.0083   0.0000   0.8556   0.0000       KS
 subj_20_trials_50   0.6735   8.2038   0.3187   0.0788   0.0000   0.9996   0.0340       KS
 subj_20_trials_60   0.8679   1.4156   0.2907   0.0375   0.0000   0.9939   0.0160       KS
 subj_210_trials_10   0.9083   1.5661   0.4085   0.1598   0.0000   0.9999   0.0470       KS
 subj_210_trials_20   0.8908   4.4218   0.3750   0.1575   0.0000   0.9967   0.0370       KS
 subj_210_trials_30   1.1425   4.4595   0.3696   0.1949   0.0000   0.9952   0.0160       KS
 subj_210_trials_40   0.7320   5.1983   0.3881   0.1613   0.0000   0.9719   0.0320       KS
 subj_210_trials_50   0.6910   1.9375   0.2968   0.0376   0.0000   0.9975   0.0170       KS
 subj_210_trials_60   0.8579   4.4529   0.3336   0.1125   0.0000   0.9749   0.0200       KS
 subj_211_trials_10   1.2395   2.6667   0.4031   0.1744   0.0000   0.9998   0.0160       KS
 subj_211_trials_20   1.0452   3.5265   0.3616   0.0375   0.0000   0.8485   0.0150       KS
 subj_211_trials_30   0.4872   5.1330   0.3674   0.0977   0.0000   0.9917   0.0160       KS
 subj_211_trials_40   1.3762   3.5147   0.2880   0.1733   0.0000   0.9987   0.0680       KS
 subj_211_trials_50   0.8848   5.4578   0.3295   0.1312   0.0000   0.9997   0.0310       KS
 subj_211_trials_60   0.9892   5.2850   0.3155   0.0974   0.0000   0.9998   0.0380       KS
 subj_212_trials_10   0.5406   1.4940   0.2936   0.0056   0.0000   0.9832   0.0000       KS
 subj_212_trials_20   0.6742   4.9705   0.3670   0.1004   0.0000   0.9977   0.0160       KS
 subj_212_trials_30   1.1444   3.6190   0.3431   0.0047   0.0000   0.6140   0.0150       KS
 subj_212_trials_40   0.8991   5.8668   0.3501   0.1367   0.0000   0.9997   0.0370       KS
 subj_212_trials_50   1.3982   2.9027   0.3692   0.2320   0.0000   1.0000   0.0470       KS
 subj_212_trials_60   1.2268   3.2178   0.3130   0.1612   0.0000   0.9969   0.0540       KS
 subj_213_trials_10   1.2678   2.5760   0.2750   0.0062   0.0000   0.9998   0.0310       KS
 subj_213_trials_20   0.6835   1.8039   0.2915   0.0016   0.0000   0.9843   0.0160       KS
 subj_213_trials_30   1.2615   0.7880   0.3038   0.0394   0.0000   0.9994   0.0510       KS
 subj_213_trials_40   0.8624   5.8056   0.3261   0.1046   0.0000   1.0000   0.0160       KS
 subj_213_trials_50   1.2704   3.6711   0.3351   0.1820   0.0000   1.0000   0.0470       KS
 subj_213_trials_60   1.2745   1.5650   0.3015   0.1590   0.0000   0.9999   0.0530       KS
 subj_214_trials_10   1.1994   0.2673   0.2416   0.0163   0.0000   0.9878   0.0320       KS
 subj_214_trials_20   1.0835   3.3155   0.3143   0.0778   0.0000   0.9920   0.0160       KS
 subj_214_trials_30   1.6697   4.7695   0.3448   0.2414   0.0000   0.9997   0.0790       KS
 subj_214_trials_40   0.9077   5.8869   0.3156   0.0716   0.0000   0.9997   0.0310       KS
 subj_214_trials_50   1.1417   4.3454   0.3257   0.1160   0.0000   1.0000   0.0310       KS
 subj_214_trials_60   1.4175   1.3529   0.3063   0.1821   0.0000   0.9999   0.0690       KS
 subj_215_trials_10   0.9288   3.1433   0.2902   0.0058   0.0000   0.9999   0.0160       KS
 subj_215_trials_20   0.9793   2.8174   0.3869   0.0379   0.0000   0.8548   0.0150       KS
 subj_215_trials_30   0.7146   4.2656   0.3751   0.1386   0.0000   0.9962   0.0200       KS
 subj_215_trials_40   1.4897   2.6928   0.2520   0.0376   0.0000   0.9863   0.0210       KS
 subj_215_trials_50   2.3132   2.8706   0.2351   0.3035   0.0000   0.9900   0.1160       KS
 subj_215_trials_60   1.1356   4.0016   0.4395   0.3146   0.0000   0.9598   0.0850       KS
 subj_216_trials_10   0.7826   4.0200   0.3401   0.0525   0.0000   1.0000   0.0150       KS
 subj_216_trials_20   1.0745   3.3584   0.3135   0.0913   0.0000   0.9919   0.0240       KS
 subj_216_trials_30   1.2800   3.0445   0.2519   0.0377   0.0000   0.9224   0.0310       KS
 subj_216_trials_40   1.1964   0.8229   0.2795   0.0375   0.0000   0.9949   0.0300       KS
 subj_216_trials_50   1.2894   3.1501   0.3443   0.3284   0.0000   0.9997   0.0690       KS
 subj_216_trials_60   0.9265   5.5032   0.3676   0.1551   0.0000   0.9895   0.0310       KS
 subj_217_trials_10   1.2266   2.8280   0.3938   0.1357   0.0000   0.9998   0.0320       KS
 subj_217_trials_20   0.7906   3.5755   0.4073   0.2517   0.0000   0.9998   0.0370       KS
 subj_217_trials_30   0.8787   1.9514   0.3097   0.0674   0.0000   0.9995   0.0310       KS
 subj_217_trials_40   0.9082   5.6533   0.3757   0.1219   0.0000   0.9474   0.0310       KS
 subj_217_trials_50   1.0136   7.2020   0.3435   0.1369   0.0000   0.9742   0.0380       KS
 subj_217_trials_60   0.6698   1.7746   0.2926   0.0022   0.0000   0.9978   0.0160       KS
 subj_218_trials_10   1.0271   1.6197   0.4285   0.2551   0.0000   1.0000   0.0310       KS
 subj_218_trials_20   1.1851   2.7468   0.4443   0.3681   0.0000   1.0000   0.1020       KS
 subj_218_trials_30   0.8967   3.6130   0.3300   0.1601   0.0000   0.9992   0.0310       KS
 subj_218_trials_40   2.2645   3.6040   0.2780   0.3317   0.0000   0.9997   0.0830       KS
 subj_218_trials_50   0.9898   1.0279   0.2894   0.0041   0.0000   0.9995   0.0400       KS
 subj_218_trials_60   2.9890   4.6733   0.2701   0.2724   0.0000   0.9690   0.1240       KS
 subj_219_trials_10   1.3209   2.8292   0.3931   0.1499   0.0000   0.9998   0.0160       KS
 subj_219_trials_20   0.9542   0.2854   0.2980   0.0675   0.0000   0.9696   0.0380       KS
 subj_219_trials_30   0.9946   0.6398   0.3140   0.1059   0.0000   0.9963   0.0320       KS
 subj_219_trials_40   1.2543   2.9602   0.3114   0.2406   0.0000   0.9992   0.0670       KS
 subj_219_trials_50   1.4348   7.2139   0.3255   0.1372   0.0000   0.9718   0.0460       KS
 subj_219_trials_60   1.1901   4.8565   0.3142   0.1168   0.0000   0.9940   0.0310       KS
 subj_21_trials_10   0.9519   2.5932   0.3097   0.0029   0.0000   0.9819   0.0070       KS
 subj_21_trials_20   1.1013   3.3077   0.3705   0.0527   0.0000   0.8484   0.0160       KS
 subj_21_trials_30   0.9803   4.4716   0.2706   0.0003   0.0000   0.9160   0.0230       KS
 subj_21_trials_40   1.0252   3.8523   0.2779   0.0000   0.0000   0.9851   0.0310       KS
 subj_21_trials_50   0.6072   2.2089   0.2990   0.0375   0.0000   0.9936   0.0160       KS
 subj_21_trials_60   1.1836   6.4471   0.3078   0.0675   0.0000   0.9358   0.0160       KS
 subj_220_trials_10   0.9847   2.0725   0.3459   0.0655   0.0000   0.9819   0.0160       KS
 subj_220_trials_20   0.9663   3.2683   0.3766   0.1666   0.0000   0.9901   0.0310       KS
 subj_220_trials_30   0.6735   5.8637   0.3669   0.1245   0.0000   0.9875   0.0220       KS
 subj_220_trials_40   1.1555   5.1944   0.3175   0.0911   0.0000   0.9942   0.0160       KS
 subj_220_trials_50   1.0258   3.2603   0.2969   0.0675   0.0000   0.9915   0.0320       KS
 subj_220_trials_60   0.9691   2.6675   0.3066   0.0374   0.0000   0.9978   0.0360       KS
 subj_221_trials_10   0.6602   1.2223   0.2904   0.0060   0.0000   0.9833   0.0160       KS
 subj_221_trials_20   1.3248   2.9500   0.4810   0.5261   0.0000   0.9998   0.1000       KS
 subj_221_trials_30   1.3988   0.7108   0.3048   0.0555   0.0000   0.9994   0.0470       KS
 subj_221_trials_40   0.6831   5.6910   0.3676   0.1833   0.0000   1.0000   0.0220       KS
 subj_221_trials_50   1.0512   1.5242   0.2910   0.0072   0.0000   1.0000   0.0310       KS
 subj_221_trials_60   1.4230   1.1954   0.2806   0.0975   0.0000   0.9998   0.0690       KS
 subj_222_trials_10   0.8554   0.7695   0.2922   0.0171   0.0000   0.9826   0.0160       KS
 subj_222_trials_20   0.8528   3.7627   0.4125   0.1653   0.0000   0.9977   0.0150       KS
 subj_222_trials_30   0.7032   5.5717   0.3101   0.0824   0.0000   0.9991   0.0170       KS
 subj_222_trials_40   0.8276   7.1263   0.3418   0.1506   0.0000   1.0000   0.0360       KS
 subj_222_trials_50   1.0249   4.8911   0.4319   0.2443   0.0000   0.9419   0.0470       KS
 subj_222_trials_60   0.9823   1.0745   0.2841   0.0002   0.0000   0.9926   0.0310       KS
 subj_223_trials_10   1.3099   3.3998   0.3618   0.1056   0.0000   1.0000   0.0230       KS
 subj_223_trials_20   1.3484   1.4339   0.2712   0.0032   0.0000   0.9988   0.0310       KS
 subj_223_trials_30   1.2322   3.5312   0.2541   0.0083   0.0000   0.8876   0.0160       KS
 subj_223_trials_40   1.2137   4.2320   0.3177   0.0880   0.0000   0.9993   0.0310       KS
 subj_223_trials_50   1.0222   5.5306   0.3699   0.1579   0.0000   0.9666   0.0530       KS
 subj_223_trials_60   0.9925   4.3125   0.3284   0.0910   0.0000   0.9935   0.0480       KS
 subj_224_trials_10   1.0232   2.5330   0.3283   0.0264   0.0000   0.9823   0.0150       KS
 subj_224_trials_20   0.8346   2.3265   0.2888   0.0006   0.0000   0.9988   0.0160       KS
 subj_224_trials_30   0.5879   1.1789   0.3133   0.0825   0.0000   0.9899   0.0160       KS
 subj_224_trials_40   2.6484   3.0620   0.1809   0.1608   0.0000   0.9984   0.2000       KS
 subj_224_trials_50   0.9299   0.9800   0.2902   0.0463   0.0000   0.9984   0.0160       KS
 subj_224_trials_60   0.9312   2.9810   0.3841   0.0009   0.0000   0.9493   0.0220       KS
 subj_225_trials_10   1.2240   2.4328   0.2815   0.0000   0.0000   0.9999   0.0310       KS
 subj_225_trials_20   1.2036   2.3318   0.4310   0.3301   0.0000   0.9997   0.0470       KS
 subj_225_trials_30   0.5564   6.6292   0.3635   0.1072   0.0000   0.9624   0.0220       KS
 subj_225_trials_40   0.9281   3.4622   0.4098   0.2257   0.0000   0.9877   0.0310       KS
 subj_225_trials_50   1.4223   6.3360   0.3549   0.1958   0.0000   0.9784   0.0850       KS
 subj_225_trials_60   0.9078   5.0833   0.3411   0.1019   0.0000   0.9897   0.0390       KS
 subj_226_trials_10   0.4481   3.6785   0.3225   0.0375   0.0000   0.9999   0.0000       KS
 subj_226_trials_20   0.6969   4.6942   0.3740   0.1092   0.0000   0.9977   0.0000       KS
 subj_226_trials_30   1.1507   4.4236   0.3783   0.0053   0.0000   0.9373   0.0300       KS
 subj_226_trials_40   0.7764   2.8753   0.2982   0.0675   0.0000   0.9991   0.0160       KS
 subj_226_trials_50   0.7559   0.9341   0.2918   0.0525   0.0000   0.9918   0.0220       KS
 subj_226_trials_60   0.8711   1.2485   0.2861   0.0091   0.0000   0.9929   0.0310       KS
 subj_227_trials_10   0.8434   1.8291   0.3913   0.2325   0.0000   0.9999   0.0320       KS
 subj_227_trials_20   1.6109   2.1119   0.2133   0.0827   0.0000   0.9746   0.0470       KS
 subj_227_trials_30   1.1553   4.2241   0.3140   0.1539   0.0000   0.9991   0.0330       KS
 subj_227_trials_40   1.0248   4.6919   0.2935   0.0943   0.0000   0.9988   0.0350       KS
 subj_227_trials_50   1.1742   2.8672   0.3492   0.0011   0.0000   0.9218   0.0160       KS
 subj_227_trials_60   1.1045   1.8057   0.3012   0.1180   0.0000   0.9999   0.0310       KS
 subj_228_trials_10   0.6932   0.4311   0.2874   0.0675   0.0000   0.9877   0.0220       KS
 subj_228_trials_20   1.6627   2.6107   0.3170   0.2025   0.0000   0.9906   0.0630       KS
 subj_228_trials_30   0.8402   0.7770   0.3128   0.0975   0.0000   0.9947   0.0310       KS
 subj_228_trials_40   1.5382   5.1706   0.2846   0.1042   0.0000   0.9725   0.0380       KS
 subj_228_trials_50   0.8506   3.0953   0.3198   0.1575   0.0000   0.9997   0.0430       KS
 subj_228_trials_60   1.4990   5.1051   0.3320   0.1575   0.0000   0.9158   0.0700       KS
 subj_229_trials_10   1.3320   0.5841   0.2647   0.0043   0.0000   0.9836   0.0310       KS
 subj_229_trials_20   1.1795   4.7735   0.2900   0.1385   0.0000   0.9942   0.0380       KS
 subj_229_trials_30   0.7906   5.1428   0.3167   0.0494   0.0000   0.9998   0.0160       KS
 subj_229_trials_40   0.9570   3.8823   0.3397   0.1784   0.0000   0.9998   0.0310       KS
 subj_229_trials_50   1.2746   4.5076   0.3154   0.1391   0.0000   1.0000   0.0380       KS
 subj_229_trials_60   0.7736   1.5332   0.2917   0.0375   0.0000   0.9960   0.0230       KS
 subj_22_trials_10   1.0968   0.7297   0.2742   0.0376   0.0000   0.9834   0.0310       KS
 subj_22_trials_20   0.7371   5.9128   0.3539   0.0934   0.0000   0.9977   0.0160       KS
 subj_22_trials_30   1.3158   0.7609   0.3054   0.0906   0.0000   0.9992   0.0460       KS
 subj_22_trials_40   1.4478   3.9061   0.2774   0.1529   0.0000   0.9989   0.0310       KS
 subj_22_trials_50   0.8239   4.6848   0.3213   0.1404   0.0000   0.9997   0.0370       KS
 subj_22_trials_60   1.4857   0.9840   0.2670   0.0558   0.0000   0.9964   0.0800       KS
 subj_230_trials_10   0.9625   1.8200   0.4058   0.1904   0.0000   0.9999   0.0360       KS
 subj_230_trials_20   1.5519   3.2448   0.2892   0.0677   0.0000   0.9916   0.0310       KS
 subj_230_trials_30   1.0834   6.1617   0.4211   0.2499   0.0000   0.9550   0.0530       KS
 subj_230_trials_40   1.0930   0.6332   0.2854   0.0376   0.0000   0.9919   0.0320       KS
 subj_230_trials_50   2.7232   5.6109   0.3186   0.2931   0.0000   0.9717   0.1310       KS
 subj_230_trials_60   1.2591   4.8669   0.3593   0.1512   0.0000   0.9822   0.0380       KS
 subj_231_trials_10   1.1420   2.5683   0.2849   0.0095   0.0000   0.9999   0.0310       KS
 subj_231_trials_20   0.5723   1.6153   0.2963   0.0405   0.0000   0.9717   0.0160       KS
 subj_231_trials_30   0.8836   5.2051   0.3131   0.0709   0.0000   0.9998   0.0150       KS
 subj_231_trials_40   0.8095   2.8454   0.2970   0.0782   0.0000   0.9991   0.0380       KS
 subj_231_trials_50   1.3649   1.2379   0.2788   0.0707   0.0000   1.0000   0.0470       KS
 subj_231_trials_60   2.4358   2.4625   0.2871   0.4623   0.0000   0.9966   0.1530       KS
 subj_232_trials_10   1.1012   0.6944   0.2771   0.0379   0.0000   0.9833   0.0310       KS
 subj_232_trials_20   0.6752   4.8643   0.3271   0.0525   0.0000   0.9957   0.0160       KS
 subj_232_trials_30   0.6346   0.8756   0.3028   0.0008   0.0000   0.9961   0.0150       KS
 subj_232_trials_40   1.0048   3.6146   0.4083   0.2419   0.0000   0.9862   0.0380       KS
 subj_232_trials_50   0.7906   6.2937   0.2962   0.0230   0.0000   0.9848   0.0170       KS
 subj_232_trials_60   0.7600   5.5848   0.2894   0.0046   0.0000   0.9037   0.0160       KS
 subj_233_trials_10   0.8187   1.7996   0.3871   0.1900   0.0000   0.9999   0.0310       KS
 subj_233_trials_20   1.3122   2.7956   0.3185   0.0000   0.0000   0.7648   0.0260       KS
 subj_233_trials_30   0.9339   1.8714   0.3111   0.1178   0.0000   0.9996   0.0330       KS
 subj_233_trials_40   1.2424   3.4767   0.3538   0.0058   0.0000   0.7009   0.0100       KS
 subj_233_trials_50   0.7560   9.0727   0.3384   0.1233   0.0000   0.9997   0.0150       KS
 subj_233_trials_60   0.7026   2.7301   0.3019   0.0385   0.0000   1.0000   0.0260       KS
 subj_234_trials_10   0.7073  -0.3102   0.2862   0.0060   0.0000   0.9901   0.0160       KS
 subj_234_trials_20   0.9077   3.8832   0.3106   0.0286   0.0000   0.9920   0.0160       KS
 subj_234_trials_30   0.6737   3.5572   0.4123   0.1583   0.0000   0.9738   0.0310       KS
 subj_234_trials_40   0.6018   0.8794   0.2952   0.0375   0.0000   0.9583   0.0160       KS
 subj_234_trials_50   0.8968   4.9136   0.3747   0.1784   0.0000   0.9949   0.0370       KS
 subj_234_trials_60   1.0546   4.3657   0.3761   0.1032   0.0000   0.9759   0.0160       KS
 subj_235_trials_10   0.4540   5.6126   0.3106   0.0567   0.0000   0.9998   0.0000       KS
 subj_235_trials_20   0.8767   0.4029   0.2745   0.0375   0.0000   0.9101   0.0310       KS
 subj_235_trials_30   0.8504   6.3764   0.3127   0.0675   0.0000   0.9990   0.0150       KS
 subj_235_trials_40   0.8922   5.5624   0.3233   0.0764   0.0000   0.9997   0.0160       KS
 subj_235_trials_50   1.6151   3.2696   0.4147   0.4847   0.0000   0.9997   0.1300       KS
 subj_235_trials_60   1.8028   3.0808   0.3327   0.2891   0.0000   0.9998   0.0860       KS
 subj_236_trials_10   1.0505   2.4043   0.3101   0.0067   0.0000   0.9819   0.0160       KS
 subj_236_trials_20   0.7330   2.6319   0.2916   0.0012   0.0000   0.9988   0.0200       KS
 subj_236_trials_30   1.0276   5.7520   0.3421   0.1796   0.0000   0.9995   0.0470       KS
 subj_236_trials_40   1.4148   1.0136   0.2736   0.1566   0.0000   0.9996   0.0530       KS
 subj_236_trials_50   0.5021   6.6957   0.3679   0.1113   0.0000   0.9769   0.0150       KS
 subj_236_trials_60   0.7558   3.6618   0.3874   0.1152   0.0000   0.9807   0.0470       KS
 subj_237_trials_10   0.7700  -0.0849   0.2699   0.0375   0.0000   0.9928   0.0070       KS
 subj_237_trials_20   1.2300   3.8037   0.4019   0.3725   0.0000   1.0000   0.0780       KS
 subj_237_trials_30   0.9077   4.5029   0.3416   0.1570   0.0000   0.9993   0.0380       KS
 subj_237_trials_40   1.9481   4.3942   0.3936   0.4788   0.0000   1.0000   0.1000       KS
 subj_237_trials_50   1.0132   4.4634   0.3119   0.0941   0.0000   0.9997   0.0310       KS
 subj_237_trials_60   0.7652   3.2301   0.3059   0.0675   0.0000   0.9999   0.0310       KS
 subj_238_trials_10   0.8285   4.8282   0.3345   0.0582   0.0000   1.0000   0.0160       KS
 subj_238_trials_20   0.9525   3.0544   0.3625   0.1125   0.0000   0.9937   0.0220       KS
 subj_238_trials_30   1.0249   4.3557   0.4633   0.3003   0.0000   0.9636   0.0470       KS
 subj_238_trials_40   0.7630   5.6957   0.3754   0.1465   0.0000   0.9735   0.0310       KS
 subj_238_trials_50   0.6210   3.6953   0.2996   0.0375   0.0000   0.9971   0.0230       KS
 subj_238_trials_60   1.1338   4.8628   0.3105   0.1031   0.0000   0.9976   0.0310       KS
 subj_239_trials_10   1.4348   3.6677   0.3494   0.1027   0.0000   1.0000   0.0320       KS
 subj_239_trials_20   1.1081   2.9607   0.3222   0.1098   0.0000   0.9921   0.0210       KS
 subj_239_trials_30   0.5783   3.2874   0.3141   0.0620   0.0000   0.9994   0.0310       KS
 subj_239_trials_40   0.9483   7.7521   0.3560   0.1363   0.0000   0.9623   0.0310       KS
 subj_239_trials_50   1.0931   5.0123   0.3218   0.1125   0.0000   0.9943   0.0380       KS
 subj_239_trials_60   0.6767   1.0744   0.2899   0.0375   0.0000   0.9712   0.0160       KS
 subj_23_trials_10   1.7276   2.2067   0.2850   0.1656   0.0000   0.9939   0.0470       KS
 subj_23_trials_20   0.5877   5.3194   0.3392   0.0925   0.0000   1.0000   0.0150       KS
 subj_23_trials_30   1.1420   3.6170   0.4060   0.2818   0.0000   0.9997   0.0380       KS
 subj_23_trials_40   1.4326   4.9642   0.4288   0.3310   0.0000   0.9593   0.1230       KS
 subj_23_trials_50   1.1680   3.6032   0.3781   0.2625   0.0000   0.9998   0.0620       KS
 subj_23_trials_60   1.8742   2.9522   0.3486   0.3391   0.0000   0.9998   0.1490       KS
 subj_240_trials_10   1.0207   3.0400   0.2856   0.0000   0.0000   0.9999   0.0160       KS
 subj_240_trials_20   0.6046   5.4919   0.3458   0.0839   0.0000   0.9968   0.0190       KS
 subj_240_trials_30   0.5804   1.0113   0.3060   0.0525   0.0000   0.9959   0.0160       KS
 subj_240_trials_40   1.2264   0.8004   0.2783   0.0160   0.0000   0.9952   0.0470       KS
 subj_240_trials_50   0.9137   5.0264   0.3616   0.1265   0.0000   0.9747   0.0160       KS
 subj_240_trials_60   1.0380   3.0134   0.3011   0.0832   0.0000   0.9944   0.0370       KS
 subj_241_trials_10   1.1640   0.6584   0.2742   0.0379   0.0000   0.9834   0.0310       KS
 subj_241_trials_20   0.7353   4.0819   0.3480   0.0985   0.0000   0.9900   0.0160       KS
 subj_241_trials_30   0.7906   4.7395   0.3598   0.1324   0.0000   0.9957   0.0310       KS
 subj_241_trials_40   1.7842   6.7675   0.3074   0.1682   0.0000   1.0000   0.0470       KS
 subj_241_trials_50   1.6557   1.5779   0.3643   0.5704   0.0000   0.9997   0.1530       KS
 subj_241_trials_60   1.0950   3.8781   0.3433   0.1671   0.0000   0.9757   0.0320       KS
 subj_242_trials_10   1.2566   2.8594   0.3871   0.2022   0.0000   0.9998   0.0150       KS
 subj_242_trials_20   0.9903   3.8839   0.4136   0.1875   0.0000   0.9976   0.0320       KS
 subj_242_trials_30   0.6149   2.1547   0.3059   0.0695   0.0000   0.9949   0.0220       KS
 subj_242_trials_40   1.7505   1.0657   0.2674   0.2863   0.0000   0.9981   0.1160       KS
 subj_242_trials_50   1.1546   0.8804   0.2854   0.0007   0.0000   0.9995   0.0470       KS
 subj_242_trials_60   1.2942   1.6594   0.3106   0.1727   0.0000   1.0000   0.0530       KS
 subj_243_trials_10   1.1876   0.2568   0.2495   0.0023   0.0000   0.9886   0.0220       KS
 subj_243_trials_20   0.9706   3.4331   0.4298   0.1978   0.0000   0.9977   0.0310       KS
 subj_243_trials_30   0.7917   4.6141   0.3205   0.0926   0.0000   0.9997   0.0160       KS
